napkin	'næpkɪn	салфетка
special	'speʃ(ǝ)l	особый,  специальный
smile	smaɪl	улыбка
draught	drɑ:ft	сквозняк,  шашки (игра)
against	ǝ'gen(t)st	против,  лицом к,  рядом
shirt	ʃɜ:t	рубашка
brow	braʊ	бровь,  лоб,  выражение лица
mind	maɪnd	разум
dire	'daɪǝ	страшный
knowledge	'nɒlɪʤ	познания,  эрудиция
boundary	baʊnd(ǝ)rɪ	граница,  межа
origin	'ɒrɪʤɪn	начало,  источник
quiet	'kwaɪǝt	тихий,  спокойный
cuff	kʌf	манжета,  наручники,  бить (кулаком)
duty	'dju:tɪ	уважение,  повиновение
basin	beɪsn	миска,  таз
whose	hu:z	чей,  чьё
promise	'prɒmɪs	обещание
doom	du:m	судьба,  гибель
exaggerate	ɪg'zæʤǝreɪt	преувеличивать,  усложнять
frost	frɒst	мороз,  иней
float	flǝʊt	плавать
present	'prez(ǝ)nt	настоящее время,  присутствующий,  подарок
motion	'mǝʊʃ(ǝ)n	движение
australian	ɒs'treɪlɪǝn	австралийский
shrink	ʃrɪŋk	уменьшать
throw	θrǝʊ	бросать,  кидать
themselves	ðǝm'selvz	себя,  себе
counter	'kaʊntǝ	тот кто считает,  прилавок
shine	ʃaɪn	светить,  сиять
brilliant	brɪlɪǝnt	бриллиант,  блестящий
hop	hɒp	прыжок,  хмель (бот)
explosion	ɪk'splǝʊʒ(ǝ)n	взрыв,  взрывание
disapprove	,dɪsǝ'pru:v	не одобрять,  осуждать (что-л.)
badge	bæʤ	эмблема,  значок
april	eɪpr(ǝ)l	апрель
street	stri:t	улица
living	'lɪvɪŋ	средства к существованию,  образ жизни
available	ǝ'veɪlǝbl	доступный,  имеющийся в распоряжении
fancy	'fæn(t)sɪ	воображение,  фантазия
outlook	'aʊtlʊk	точка зрения,  перспектива
withdraw	wɪð'drɔ:	отодвигать,  отдёргивать
sparse	spɑ:s	разбросанный,  редкий
stuff	stʌf	вещество (из чего что-л. состоит),  набивать,  запихивать
quake	kweɪk	трястись,  дрожать
fog	fɒg	туман,  затруднение
succeed	sǝk'si:d	следовать за (кем-л.),  сменять (кого-л.)
current	'kʌr(ǝ)nt	струя,  поток,  течение
subway	'sʌbweɪ	тоннель,  метро
secretary	'sekrǝt(ǝ)rɪ	секретарь,  помощник
sick	sɪk	больной,  натравливать (собаку на кого-л.)
capital	kæpɪtǝl	капитал,  столица,  заглавный (о букве)
newly	'nju:lɪ	заново
fertile	'fɜ:taɪl	плодородный
knight	naɪt	рыцарь
rest	rest	отдыхать
prison	'prɪz(ǝ)n	тюрьма
scorn	skɔ:n	презрение,  насмешка
cemetery	'semǝtrɪ	кладбище
barrister	bærɪstǝ	адвокат
legacy	'legǝsɪ	наследство
define	dɪ'faɪn	давать определение (какому-л. понятию) (as)
story	'stɔ:rɪ	повесть,  рассказ
tent	tent	палатка,  тампон
cashier	kæ'ʃɪǝ	кассир,  увольнять со службы
chairman	'ʧeǝmǝn	председатель
folk	fǝʊk	люди,  народ
occur	ǝ'kɜ:	происходить,  случаться
courage	'kʌrɪʤ	бесстрашие,  мужество
splendid	'splendɪd	роскошный
misery	'mɪz(ǝ)rɪ	страдание,  несчастье
forehead	'fɔ:hed	лоб
foul	faʊl	грязный
intend	ɪn'tend	намереваться
novel	'nɒv(ǝ)l	роман,  новый
binding	baɪndɪŋ	связывание,  скрепление,  переплёт (книги)
improbable	ɪm'prɒbǝbl	невероятный,  неправдоподобный
jelly	'ʤelɪ	желе
basement	beɪsmǝnt	основание,  фундамент,  подвал
laurel	'lɒr(ǝ)l	лавр благородный
fade	feɪd	увядать (о растениях),  выцветать
over	'ǝʊvǝ	над,  выше
pressing	'presɪŋ	обременительный,  неотложный
signal	'sɪgn(ǝ)l	знак,  сигнал,  подавать сигнал
inclination	,ɪnklɪ'neɪʃ(ǝ)n	наклон,  отклонение
descent	dɪ'sent	спуск,  снижение
thirteen	θɜ:'ti:n	тринадцать
strive	straɪv	стараться,  пытаться
attention	ǝ'ten(t)ʃ(ǝ)n	внимание,  внимательность
thin	θɪn	тонкий,  жидкий
mention	'menʃ(ǝ)n	упоминание,  ссылка (на что-л. / кого-л.)
fur	fɜ:	мех,  одежда из меха
ashamed	ǝ'ʃeɪmd	пристыженный
swear	sweǝ	клятва
rain	reɪn	дождь
mint	mɪnt	мята,  монетный двор,  новый только что выпущенный
made	meɪd	сделанный искусственно,  выдуманный
choose	ʧu:z	выбирать
authorize	ɔ:θ(ǝ)raɪz	уполномочивать,  поручать
cucumber	'kju:kʌmbǝ	огурец
freight	freɪt	фрахт,  плата за перевозку грузов
retire	rɪ'taɪǝ	уходить в отставку,  на пенсию
pit	pɪt	яма
bust	bʌst	бюст (скульптурное изображение до пояса),  неудача
mighty	'maɪtɪ	могущественный,  большой (о размерах)
abbreviation	ǝ,bri:vɪ'eɪʃ(ǝ)n	сокращение, урезание (текста при письме),  аббревиатура
battle	bætl	сражение,  армия
bleeding	bli:dɪŋ	кровотечение
misunderstand	,mɪsʌndǝ'stænd	неправильно понять
iron	'aɪǝn	железо
kindergarten	'kɪndǝ,gɑ:t(ǝ)n	детский сад
quick	kwɪk	быстрый
peninsula	pǝ'nɪn(t)sjǝlǝ	полуостров
cord	kɔ:d	верёвка,  связь
conquer	'kɒŋkǝ	завоёвывать,  покорять
badminton	bædmɪntǝn	бадминтон
corn	kɔ:n	зерно,  зёрнышко (хлебных злаков)
allowance	ǝ'laʊǝn(t)s	денежное пособие,  карманные деньги,  норма выдачи
lock	lɒk	локон,  листва деревьев,  замок
tomorrow	tǝ'mɒrǝʊ	завтра
crow	krǝʊ	ворона,  карканье
biography	baɪ'ɒgrǝfɪ	биография
scholar	'skɒlǝ	учёный (гуманитарий),  филолог,  ученик
enter	'entǝ	входить
gallery	'gæl(ǝ)rɪ	галерея,  место для прогулок
dustbin	'dʌstbɪn	мусорный ящик
hijack	'haɪʤæk	нападать с целью грабежа
altar	ɔ:ltǝ	алтарь,  священное место
vote	vǝʊt	голосование,  право голоса
cake	keɪk	пирожное,  торт,  затвердевать
tie	taɪ	лента,  галстук-бабочка,  завязывать
pity	'pɪtɪ	жалеть,  соболезновать
front	frʌnt	лоб,  фасад,  передняя сторона чего-л
inn	ɪn	жильё,  гостиница
bread	bred	хлеб
rage	reɪʤ	ярость
liar	'laɪǝ	лгун
shadow	'ʃædǝʊ	тень,  пятно
fee	fi:	вознаграждение,  гонорар (за какие-либо услуги)
walk	wɔ:k	идти,  гулять
co-operate	kǝʊ'ɒp(ǝ)reɪt	сотрудничать с кем-л.,  объединяться с кем-л.
tall	tɔ:l	высокий
distrust	dɪs'trʌst	недоверие,  сомнение
figure	'fɪgǝ	фигура (человека),  телосложение,  внешний вид
pack	pæk	пачка,  куча
voluntary	'vɒlǝnt(ǝ)rɪ	добровольный,  бесплатный
secure	sɪ'kjʊǝ	безопасный,  надёжный
cellar	'selǝ	подвал
bourgeois	bʊǝʒwɑ:	буржуа,  капиталистический
discourage	dɪs'kʌrɪʤ	лишать мужества,  уверенности в себе
damage	'dæmɪʤ	вред,  повреждение
among	ǝ'mʌŋ	между,  среди
slow	slǝʊ	медленный
brutal	bru:tl	бесчеловечный,  жестокий
bowl	bǝʊl	кубок,  чаша,  шар,  изгибаться
fist	fɪst	кулак,  рукопожатие
glove	glʌv	перчатка
lizard	'lɪzǝd	ящерица
museum	mju:'zi:ǝm	музей
lodger	'lɒʤǝ	жилец,  квартирант
knee	ni:	колено
farther	'fɑ:ðǝ	отдалённый,  удалённый  (от far)
creak	kri:k	скрип
want	wɒnt	недостаток,  нехватка (чего-л.),  разыскивать (о преступнике)
offence	ǝ'fen(t)s	нарушение чего-л.,  обида,  оскорбление
valley	'vælɪ	долина
compel	kǝm'pel	заставлять
bathe	beɪð	купание
buffalo	bʌfǝlǝʊ	буйвол,  пугать,  обманывать
beastly	bi:stlɪ	животный,  грубый
gland	glænd	железа
attendant	ǝ'tendǝnt	обслуживающее лицо,  сопровождающее лицо
theatre	'θɪǝtǝ	театр
dream	dri:m	сон,  мечта
try	traɪ	пытаться,  стараться
have	hæv	иметь,  обладать
applied	ǝ'plaɪd	практический,  прикладной
found	faʊnd	основывать,  плавить (металл)
lecture	'lekʧǝ	лекция,  наставление
saddle	'sædl	седло
common	'kɒmǝn	общий
convince	kǝn'vɪn(t)s	убеждать
ladder	'lædǝ	лестница,  спустившаяся петля (на чулке)
rattle	'rætl	треск,  грохот,  детская погремушка
free	fri:	свободный
hatred	'heɪtrɪd	ненависть
knit	nɪt	вязать,  хмурить (брови),  соединять
pants	pænts	брюки,  штаны
stress	stres	давление,  нажим
absurd	ǝb'sɜ:d	нелепый,  абсурдный,  смешной
badly	bædlɪ	плохо
barbecue	bɑ:bɪkju:	целиком зажаренная туша
baggage	bægɪʤ	багаж
frown	fraʊn	смотреть неодобрительно,  хмурить брови
built	bɪlt	прош. вр. build - строить
toe	tǝʊ	палец ноги
gate	geɪt	ворота,  дверь
fruit	fru:t	плод,  фрукт
turtle	'tɜ:tl	черепаха
uncertain	ʌn'sɜ:t(ǝ)n	неопределённый,  неясный
obtain	ǝb'teɪn	получать,  приобретать
gutter	'gʌtǝ	бороздка (проделанная водой),  водосточный жёлоб
blonde	blɒnd	блондинка
discontent	,dɪskǝn'tent	недовольство,  неудовлетворённость
indicate	'ɪndɪkeɪt	показывать,  указывать
amusement	ǝ'mju:zmǝnt	изумление,  забава
harsh	hɑ:ʃ	жёсткий,  твёрдый
ate	et	прош. вр eat  есть,  поглощать
disrupt	dɪs'rʌpt	разорванный (на части)
manage	'mænɪʤ	руководить,  управлять
heel	hi:l	пятка,  преследовать,  наклон
archery	ɑ:ʧǝrɪ	стрельба из лука
oath	ǝʊθ	клятва,  присяга
replace	rɪ'pleɪs	заменять
clever	klevǝ	умный,  проворный
happy	'hæpɪ	счастливый,  довольный
injure	'ɪnʤǝ	ранить,  испортить
depress	dɪ'pres	подчинять,  подавлять,  ослаблять
pine	paɪn	сосна,  чахнуть,  жаждать (чего-л.)
